Customer_ID,Customer_Name,Region_ID,Category,Q1_Sales,Q2_Sales,Q3_Sales,Q4_Sales
CUST-1001,Grace Nelson,R2_South,Clothing,819,903,317,465
CUST-1002,Danny Page,R3_East,Office Supplies,808,184,319,327
CUST-1003,Helen Hopper,R3_East,Office Supplies,806,876,542,689
CUST-1004,Trish Page,R3_East,Home Decor,269,239,944,881
CUST-1005,Karen Miller,R4_West,Office Supplies,936,925,783,190
CUST-1006,Helen Brown,R4_West,Office Supplies,753,754,343,889
CUST-1007,Bob Cage,R3_East,Office Supplies,207,751,666,853
CUST-1008,Frank Jones,R4_West,Furniture,495,567,178,651
CUST-1009,Alice Cage,R1_North,Home Decor,890,264,314,294
CUST-1010,Luke Temple,R1_North,Electronics,623,766,571,350
CUST-1011,Jack Castle,R4_West,Clothing,266,345,488,873
CUST-1012,Danny Rand,R4_West,Electronics,940,650,797,610
CUST-1013,Trish Cage,R3_East,Home Decor,276,775,645,881
CUST-1014,Foggy Brown,R2_South,Clothing,542,642,514,901
CUST-1015,Eve Walker,R4_West,Home Decor,790,224,491,707
CUST-1016,Grace Malcolm,R1_North,Office Supplies,207,562,649,696
CUST-1017,Grace Wing,R3_East,Clothing,783,525,806,402
CUST-1018,David Jones,R4_West,Office Supplies,662,569,660,539
CUST-1019,Colleen Malcolm,R1_North,Electronics,900,878,476,743
CUST-1020,Bob Nelson,R1_North,Electronics,245,426,366,405
CUST-1021,Danny Hopper,R2_South,Clothing,787,910,450,858
CUST-1022,Luke Hunt,R3_East,Clothing,267,825,281,599
CUST-1023,Danny Brown,R3_East,Home Decor,709,543,219,159
CUST-1024,Jessica Temple,R2_South,Home Decor,750,606,401,947
CUST-1025,David Wing,R2_South,Office Supplies,637,341,564,391
CUST-1026,Helen Miller,R3_East,Clothing,386,888,936,400
CUST-1027,Bob Wright,R3_East,Electronics,421,838,594,154
CUST-1028,Jack Miller,R4_West,Home Decor,338,248,331,268
CUST-1029,Colleen Cage,R4_West,Home Decor,853,697,316,523
CUST-1030,Bob Sparrow,R2_South,Electronics,596,245,240,214
CUST-1031,David Jones,R4_West,Home Decor,730,813,863,295
CUST-1032,Frank Rand,R1_North,Office Supplies,939,812,680,373
CUST-1033,Helen Jones,R4_West,Clothing,396,339,188,388
CUST-1034,Helen Castle,R4_West,Electronics,225,885,275,326
CUST-1035,Matt Wing,R1_North,Clothing,303,186,600,928
CUST-1036,Danny Murdock,R2_South,Home Decor,805,929,322,431
CUST-1037,Ian Rand,R1_North,Home Decor,584,518,802,212
CUST-1038,Matt Smith,R4_West,Electronics,235,844,903,366
CUST-1039,Grace Malcolm,R2_South,Office Supplies,846,674,369,944
CUST-1040,Alice Cage,R4_West,Furniture,434,428,787,838
CUST-1041,Helen Page,R1_North,Electronics,369,366,207,610
CUST-1042,Trish Temple,R1_North,Furniture,218,947,809,759
CUST-1043,Helen Brown,R4_West,Furniture,196,422,625,254
CUST-1044,Charlie Smith,R3_East,Office Supplies,243,211,605,248
CUST-1045,Eve Sparrow,R3_East,Furniture,899,745,510,660
CUST-1046,Grace Malcolm,R1_North,Furniture,602,878,150,534
CUST-1047,Grace Malcolm,R1_North,Office Supplies,353,491,536,554
CUST-1048,Helen Cage,R3_East,Furniture,367,546,497,667
CUST-1049,Bob Smith,R3_East,Furniture,623,848,339,625
CUST-1050,Frank Davis,R4_West,Furniture,581,168,654,858
CUST-1051,Charlie Cage,R4_West,Electronics,490,326,340,794
CUST-1052,Helen Brown,R3_East,Electronics,700,761,657,920
CUST-1053,Alice Brown,R4_West,Electronics,761,545,518,586
CUST-1054,Eve Rand,R4_West,Office Supplies,438,594,558,172
CUST-1055,Jessica Brown,R2_South,Home Decor,403,382,266,714
CUST-1056,Alice Davis,R4_West,Furniture,883,225,283,826
CUST-1057,Jessica Hopper,R1_North,Furniture,506,414,207,863
